gene_id,gene_name,info_gain,gain_ratio,sym_uncer,chi-square
AEBP2|121536,AEBP2,0,NA,0,0
AEN|64782,AEN,0,NA,0,0
AES|166,AES,0,NA,0,0
AFAP1L1|134265,AFAP1L1,0,NA,0,0
AFAP1L2|84632,AFAP1L2,0,NA,0,0
AFAP1|60312,AFAP1,0,NA,0,0
AFARP1|246182,AFARP1,0,NA,0,0
AFF1|4299,AFF1,0,NA,0,0
AFF2|2334,AFF2,0,NA,0,0
AFF3|3899,AFF3,0.037972634,0.061144172,0.047715017,0.216879879
AFF4|27125,AFF4,0,NA,0,0
AFG3L1|172,AFG3L1,0,NA,0,0
AFG3L2|10939,AFG3L2,0,NA,0,0
AFMID|125061,AFMID,0,NA,0,0
AFM|173,AFM,0,NA,0,0
AFP|174,AFP,0,NA,0,0
AFTPH|54812,AFTPH,0,NA,0,0
AG2|387763,AG2,0,NA,0,0
AGAP11|119385,AGAP11,0,NA,0,0
AGAP1|116987,AGAP1,0,NA,0,0
AGAP2|116986,AGAP2,0,NA,0,0
AGAP3|116988,AGAP3,0,NA,0,0
AGAP4|119016,AGAP4,0,NA,0,0
AGAP5|729092,AGAP5,0,NA,0,0
AGAP6|414189,AGAP6,0,NA,0,0
AGAP7|653268,AGAP7,0,NA,0,0
AGAP8|728404,AGAP8,0,NA,0,0
AGA|175,AGA,0,NA,0,0
AGBL1|123624,AGBL1,0,NA,0,0
AGBL2|79841,AGBL2,0,NA,0,0
AGBL3|340351,AGBL3,0,NA,0,0
AGBL4|84871,AGBL4,0,NA,0,0
AGBL5|60509,AGBL5,0,NA,0,0
AGER|177,AGER,0,NA,0,0
AGFG1|3267,AGFG1,0,NA,0,0
AGFG2|3268,AGFG2,0,NA,0,0
AGGF1|55109,AGGF1,0,NA,0,0
AGK|55750,AGK,0,NA,0,0
AGL|178,AGL,0,NA,0,0
AGMAT|79814,AGMAT,0,NA,0,0
AGPAT1|10554,AGPAT1,0,NA,0,0
AGPAT2|10555,AGPAT2,0,NA,0,0
AGPAT3|56894,AGPAT3,0,NA,0,0
AGPAT4|56895,AGPAT4,0,NA,0,0
AGPAT5|55326,AGPAT5,0,NA,0,0
AGPAT6|137964,AGPAT6,0,NA,0,0
AGPAT9|84803,AGPAT9,0,NA,0,0
AGPHD1|123688,AGPHD1,0,NA,0,0
AGPS|8540,AGPS,0,NA,0,0
AGR2|10551,AGR2,0,NA,0,0
AGR3|155465,AGR3,0,NA,0,0
AGRN|375790,AGRN,0,NA,0,0
AGRP|181,AGRP,0,NA,0,0
AGTPBP1|23287,AGTPBP1,0,NA,0,0
AGTR1|185,AGTR1,0,NA,0,0
AGTR2|186,AGTR2,0,NA,0,0
AGTRAP|57085,AGTRAP,0,NA,0,0
AGT|183,AGT,0,NA,0,0
AGXT2L1|64850,AGXT2L1,0,NA,0,0
AGXT2L2|85007,AGXT2L2,0,NA,0,0
AGXT2|64902,AGXT2,0,NA,0,0
AGXT|189,AGXT,0,NA,0,0
AHCTF1|25909,AHCTF1,0,NA,0,0
AHCYL1|10768,AHCYL1,0,NA,0,0
AHCYL2|23382,AHCYL2,0,NA,0,0
AHCY|191,AHCY,0,NA,0,0
AHDC1|27245,AHDC1,0,NA,0,0
AHI1|54806,AHI1,0,NA,0,0
AHNAK2|113146,AHNAK2,0,NA,0,0
AHNAK|79026,AHNAK,0,NA,0,0
AHRR|57491,AHRR,0,NA,0,0
AHR|196,AHR,0,NA,0,0
AHSA1|10598,AHSA1,0,NA,0,0
AHSA2|130872,AHSA2,0,NA,0,0
AHSG|197,AHSG,0,NA,0,0
AHSP|51327,AHSP,0,NA,0,0
AICDA|57379,AICDA,0.03922363,0.051053727,0.045113414,0.224768406
AIDA|64853,AIDA,0,NA,0,0
AIF1L|83543,AIF1L,0,NA,0,0
AIF1|199,AIF1,0,NA,0,0
AIFM1|9131,AIFM1,0,NA,0,0
AIFM2|84883,AIFM2,0,NA,0,0
AIFM3|150209,AIFM3,0,NA,0,0
AIG1|51390,AIG1,0,NA,0,0
AIM1L|55057,AIM1L,0,NA,0,0
AIM1|202,AIM1,0,NA,0,0
AIM2|9447,AIM2,0,NA,0,0
AIMP1|9255,AIMP1,0,NA,0,0
AIMP2|7965,AIMP2,0,NA,0,0
AIPL1|23746,AIPL1,0,NA,0,0
AIP|9049,AIP,0,NA,0,0
AIRE|326,AIRE,0,NA,0,0
AJAP1|55966,AJAP1,0,NA,0,0
AK1|203,AK1,0,NA,0,0
AK2|204,AK2,0,NA,0,0
AK3L1|205,AK3L1,0,NA,0,0
AK3|50808,AK3,0,NA,0,0
AK5|26289,AK5,0,NA,0,0
AK7|122481,AK7,0,NA,0,0
AKAP10|11216,AKAP10,0,NA,0,0
AKAP11|11215,AKAP11,0,NA,0,0
AKAP12|9590,AKAP12,0,NA,0,0
AKAP13|11214,AKAP13,0,NA,0,0
AKAP14|158798,AKAP14,0,NA,0,0
AKAP1|8165,AKAP1,0,NA,0,0
AKAP2|11217,AKAP2,0,NA,0,0
AKAP3|10566,AKAP3,0,NA,0,0
AKAP4|8852,AKAP4,0,NA,0,0
AKAP5|9495,AKAP5,0,NA,0,0
AKAP6|9472,AKAP6,0,NA,0,0
AKAP7|9465,AKAP7,0,NA,0,0
AKAP8L|26993,AKAP8L,0,NA,0,0
AKAP8|10270,AKAP8,0,NA,0,0
AKAP9|10142,AKAP9,0,NA,0,0
AKD1|221264,AKD1,0,NA,0,0
AKIRIN1|79647,AKIRIN1,0,NA,0,0
AKIRIN2|55122,AKIRIN2,0,NA,0,0
AKNAD1|254268,AKNAD1,0,NA,0,0
AKNA|80709,AKNA,0.038495451,0.067701544,0.050019631,0.216134622
AKR1A1|10327,AKR1A1,0,NA,0,0
AKR1B10|57016,AKR1B10,0,NA,0,0
AKR1B15|441282,AKR1B15,0,NA,0,0
AKR1B1|231,AKR1B1,0,NA,0,0
AKR1C1|1645,AKR1C1,0,NA,0,0
AKR1C2|1646,AKR1C2,0,NA,0,0
AKR1C3|8644,AKR1C3,0,NA,0,0
AKR1C4|1109,AKR1C4,0,NA,0,0
AKR1CL1|340811,AKR1CL1,0,NA,0,0
AKR1D1|6718,AKR1D1,0,NA,0,0
AKR1E2|83592,AKR1E2,0,NA,0,0
AKR7A2|8574,AKR7A2,0,NA,0,0
AKR7A3|22977,AKR7A3,0,NA,0,0
